Description,Language,dependecies_found
A mobile-robot navigation planner for navigating among movable obstacles,Python,"[""bidict"", ""black"", ""cairosvg"", ""jsonpickle"", ""jupyter"", ""matplotlib"", ""numpy"", ""numpy-stl"", ""opencv-python"", ""pandas"", ""pillow"", ""pre-commit"", ""pydantic"", ""pydantic-xml"", ""pyright"", ""pytest"", ""pytest-cov"", ""scikit-image"", ""shapely"", ""sphinx"", ""sphinx-copybutton"", ""sphinx-rtd-theme"", ""svgpath2mpl"", ""triangle"", ""typer"", ""typing-extensions""]"
A pure python runtime type enforcer for annotations. Enforce types in python functions and methods.,Python,"[""autoflake"", ""beartype"", ""black"", ""build"", ""pdoc"", ""pydantic"", ""twine"", ""typeguard"", ""virtualenv""]"
A python library for impact crater data science,Python,"[""affine"", ""alabaster"", ""antimeridian"", ""anyio"", ""appnope"", ""argon2-cffi"", ""argon2-cffi-bindings"", ""arrow"", ""asttokens"", ""async-lru"", ""attrs"", ""babel"", ""beautifulsoup4"", ""bleach"", ""cartopy"", ""certifi"", ""cffi"", ""cfgv"", ""charset-normalizer"", ""click"", ""click-plugins"", ""cligj"", ""colorama"", ""comm"", ""contourpy"", ""coverage"", ""craterpy"", ""cycler"", ""debugpy"", ""decorator"", ""defusedxml"", ""distlib"", ""docutils"", ""exceptiongroup"", ""executing"", ""fastjsonschema"", ""filelock"", ""fiona"", ""fonttools"", ""fqdn"", ""geopandas"", ""greenlet"", ""h11"", ""httpcore"", ""httpx"", ""identify"", ""idna"", ""imagesize"", ""importlib-metadata"", ""iniconfig"", ""ipykernel"", ""ipython"", ""ipython-pygments-lexers"", ""ipywidgets"", ""isoduration"", ""jedi"", ""jinja2"", ""joblib"", ""json5"", ""jsonpointer"", ""jsonschema"", ""jsonschema-specifications"", ""jupyter"", ""jupyter-cache"", ""jupyter-client"", ""jupyter-console"", ""jupyter-core"", ""jupyter-events"", ""jupyter-lsp"", ""jupyter-server"", ""jupyter-server-terminals"", ""jupyterlab"", ""jupyterlab-pygments"", ""jupyterlab-server"", ""jupyterlab-widgets"", ""kiwisolver"", ""markdown-it-py"", ""markupsafe"", ""matplotlib"", ""matplotlib-inline"", ""mdit-py-plugins"", ""mdurl"", ""mistune"", ""myst-nb"", ""myst-parser"", ""nbclient"", ""nbconvert"", ""nbformat"", ""nest-asyncio"", ""nodeenv"", ""notebook"", ""notebook-shim"", ""numpy"", ""overrides"", ""packaging"", ""pandas"", ""pandocfilters"", ""parso"", ""pexpect"", ""pillow"", ""platformdirs"", ""pluggy"", ""pre-commit"", ""prometheus-client"", ""prompt-toolkit"", ""psutil"", ""ptyprocess"", ""pure-eval"", ""pycparser"", ""pygments"", ""pyogrio"", ""pyparsing"", ""pyproj"", ""pyshp"", ""pytest"", ""pytest-cov"", ""python-dateutil"", ""python-json-logger"", ""pytz"", ""pywin32"", ""pywinpty"", ""pyyaml"", ""pyzmq"", ""rasterio"", ""rasterstats"", ""referencing"", ""requests"", ""rfc3339-validator"", ""rfc3986-validator"", ""rpds-py"", ""ruff"", ""scipy"", ""send2trash"", ""setuptools"", ""shapely"", ""simplejson"", ""six"", ""sniffio"", ""snowballstemmer"", ""soupsieve"", ""sphinx"", ""sphinx-autobuild"", ""sphinx-rtd-theme"", ""sphinxcontrib-applehelp"", ""sphinxcontrib-devhelp"", ""sphinxcontrib-htmlhelp"", ""sphinxcontrib-jquery"", ""sphinxcontrib-jsmath"", ""sphinxcontrib-qthelp"", ""sphinxcontrib-serializinghtml"", ""sqlalchemy"", ""stack-data"", ""starlette"", ""tabulate"", ""terminado"", ""tinycss2"", ""tomli"", ""tornado"", ""tqdm"", ""traitlets"", ""types-python-dateutil"", ""typing-extensions"", ""tzdata"", ""uri-template"", ""urllib3"", ""uvicorn"", ""virtualenv"", ""watchfiles"", ""wcwidth"", ""webcolors"", ""webencodings"", ""websocket-client"", ""websockets"", ""widgetsnbextension"", ""zipp""]"
,Python,[]
,Rust,[]
An AUTO-07p automatic search algorithm codebase,Python,"[""ipython"", ""jupyter"", ""matplotlib"", ""numba"", ""numpy"", ""scipy""]"
A toolbox for processing and providing Global Ecosystem Dynamics Investigation (GEDI) L2A-B and L4A-C data,Python,"[""bottleneck"", ""cython"", ""dask"", ""distributed"", ""flox"", ""geopandas"", ""h5py"", ""numba"", ""numbagg"", ""numpy"", ""opt_einsum"", ""pandas"", ""requests"", ""retry"", ""scipy"", ""tiledb"", ""xarray""]"
Python package to read well logs and model geomechanical properties.,Python,"[""dlisio"", ""matplotlib"", ""numpy"", ""pandas"", ""pint"", ""plotly"", ""scipy"", ""setuptools"", ""welly""]"
Realtime neuroimaging quality control,Python,"[""sphinx_copybutton"", ""sphinx_rtd_theme""]"
,Python,"[""jax"", ""jaxlib"", ""line_profiler"", ""loguru"", ""matplotlib"", ""ndlib"", ""networkx"", ""numpy"", ""pandas"", ""plotly"", ""pyinstrument"", ""pytest"", ""requests"", ""scipy"", ""snakeviz"", ""sphinx"", ""sphinx-autodoc-typehints"", ""sphinx_rtd_theme"", ""tabulate"", ""tensorboard"", ""tqdm""]"
Simple sparse grid interpolation Julia implementation,Julia,[]
Python package for parsing and post-processing output from the PHITS code ,Python,"[""flake8"", ""hatchling"", ""matplotlib"", ""munch"", ""numpy"", ""pandas"", ""pdoc3"", ""pytest"", ""pytest-cov"", ""pyvista"", ""scipy"", ""seaborn""]"
,R,"[""SpecsVerification"", ""corrplot"", ""dplyr"", ""kableExtra"", ""knitr"", ""magrittr"", ""naniar"", ""pROC"", ""randomForest"", ""rmarkdown"", ""stats"", ""testthat""]"
,,
Fast and automatic histogram construction in Julia,Julia,[]
,Jupyter Notebook,[]
A toolbox that provides a common framework for benchmarks of multi-component signal processing methods.,Jupyter Notebook,[]
Python package simplifying large-scale operations using Google Earth Engine (GEE) for users who utilize Landsat and Sentinel,Python,"[""earthengine-api"", ""numpy"", ""pandas""]"
Interactive Text Annotation Tool with Shiny GUI,R,"[""DT"", ""covr"", ""data.tree"", ""dplyr"", ""ggplot2"", ""ggraph"", ""igraph"", ""jsonlite"", ""knitr"", ""magrittr"", ""mockery"", ""plotly"", ""quanteda"", ""quanteda.textstats"", ""readtext"", ""rmarkdown"", ""shiny"", ""shinyFiles"", ""shinydashboard"", ""shinyjs"", ""testthat"", ""tidytext""]"
,R,"[""DT"", ""callr"", ""ggplot2"", ""httr"", ""pracma"", ""purrr"", ""shiny"", ""shinyjs"", ""testthat""]"
,Jupyter Notebook,[]
"QASM, the low-level programming language for quantum circuit specification, implemented in TypeScript.",TypeScript,[]
A data analysis Python package for the PLUTO code,Python,"[""PyQt6"", ""approvaltests"", ""black"", ""blacken-docs"", ""coverage"", ""h5py"", ""interrogate"", ""matplotlib"", ""mypy"", ""numexpr"", ""numpy"", ""numpydoc"", ""pandas"", ""pre-commit"", ""pydata-sphinx-theme"", ""pylint"", ""pytest"", ""pytest-cov"", ""pytest-doctestplus"", ""pytest-mock"", ""ruff"", ""scipy"", ""sphinx"", ""sphinx-automodapi""]"
,,
"NASA's Condor is a framework for mathematical modeling of engineering systems in Python, for engineers with deadlines.",Python,"[""casadi"", ""matplotlib"", ""ndsplines"", ""numpy"", ""scipy""]"
"Build scientific simulators, treating them as a directed acyclic graph",Python,"[""emcee"", ""graphviz"", ""h5py"", ""ipywidgets"", ""jax"", ""jaxlib"", ""jupyter-book"", ""matplotlib"", ""numpy"", ""pre-commit"", ""pytest"", ""pytest-cov"", ""pytest-mock"", ""scipy"", ""sphinx"", ""sphinx-automodapi"", ""sphinx_rtd_theme"", ""torch""]"
Python package which takes advantage of Numba to efficiently implement a variety of coherent structure methods and analyze time-dependent dynamical systems.,Python,"[""contourpy"", ""interpolation"", ""myst-parser"", ""numba"", ""numbalsoda"", ""numpy"", ""pytest"", ""pytest-cov"", ""ruff"", ""scipy"", ""sphinx"", ""sphinx-autoapi"", ""sphinx-gallery"", ""sphinx-rtd-theme"", ""sphinxcontrib-bibtex""]"
Write reproducible code for getting and processing ChEMBL,Jupyter Notebook,[]
A python package to discover enzyme substrates based on sequence consensus ,Python,"[""PyYAML"", ""biopython"", ""black"", ""certifi"", ""charset-normalizer"", ""click"", ""contourpy"", ""cycler"", ""flake8"", ""fonttools"", ""idna"", ""kiwisolver"", ""matplotlib"", ""mkl-service"", ""modules"", ""numpy"", ""packaging"", ""pandas"", ""pillow"", ""pyparsing"", ""pytest"", ""python-dateutil"", ""requests"", ""scipy"", ""six"", ""urllib3"", ""weblogo""]"
Straightforward environment for hyperspectral analysis in Python.,Python,"[""PyYAML"", ""build"", ""flake8"", ""hsi-wizard"", ""imageio"", ""joblib"", ""matplotlib"", ""nptdms"", ""numba"", ""numpy"", ""onnxruntime"", ""opencv-python"", ""openpyxl"", ""pandas"", ""pydocstyle"", ""pynrrd"", ""pytest"", ""pytest-cov"", ""pytest-mock"", ""rembg"", ""rich"", ""scikit-learn"", ""scipy"", ""spectral"", ""sphinx-exec-code"", ""sphinx-rtd-theme"", ""tqdm"", ""twine""]"
,HTML,[]
A java library combining Micronaut and Pi4j to streamline hardware connectivity to Raspberry Pi's,Java,[]
,,
A shiny app for custom analyzes of preprocessed omics data,HTML,[]
Gyselalib++ is a collection of C++ components for writing gyrokinetic semi-lagrangian codes and similar,C++,"[""\"" \""ddc\"" SYSTEM"", ""\"" \""googletest\"" SYSTEM"", ""\"" \""kokkos\"" SYSTEM"", ""\"" \""kokkos-kernels\"" SYSTEM"", ""\"" \""koliop\"" SYSTEM"", ""DDC"", ""GTest"", ""Kokkos"", ""KokkosKernels"", ""LAPACK"", ""MPI"", ""PDI"", ""advection"", ""collisions"", ""coord_transformations"", ""data_types"", ""geometryRTheta"", ""geometryVparMu"", ""geometryXVx"", ""geometryXY"", ""geometryXYVxVy"", ""gslx"", ""gyroaverage"", ""interpolation"", ""io"", ""math_tools"", ""matrix_tools"", ""mpi_parallelisation"", ""multipatch"", ""paraconf"", ""paraconfpp"", ""pde_solvers"", ""quadrature"", ""speciesinfo"", ""testing_tools"", ""timestepper"", ""utilities"", ""utils""]"
,,
A minimal special function package for C# with MATLAB-like API.,C#,[]
Igraph bindings for matlab,MATLAB,[]
,C,[]
,Java,[]
A Python package for studying secular evolution of exoplanet orbits using observational data.,Python,"[""astropy"", ""corner"", ""docutils"", ""matplotlib"", ""nestle"", ""numpy"", ""numpydoc"", ""pytest"", ""pytest-cov"", ""scipy"", ""sphinx"", ""sphinx-autodoc-typehints"", ""sphinx-copybutton"", ""sphinx-togglebutton"", ""sphinx_rtd_theme"", ""sphinxcontrib-bibtex""]"
Medium fidelity aircraft-propulsion system design and optimization. ,Julia,[]
PyPEEC - 3D Quasi-Magnetostatic FFT/PEEC Solver,Python,"[""Pillow"", ""joblib"", ""matplotlib"", ""numpy"", ""pyside6"", ""pyvista"", ""pyvistaqt"", ""qtpy"", ""rasterio"", ""scilogger"", ""scipy"", ""scisave"", ""shapely"", ""vtk""]"
,,
A Julia package for operations research problems,Julia,[]
Mirror of the Salt Gitlab project,Python,"[""aiobotocore"", ""atlas-ftag-tools"", ""boto3"", ""botocore"", ""comet_ml"", ""coverage"", ""flash-attn"", ""h5py"", ""indicomb2"", ""ipykernel"", ""mkdocs"", ""mkdocs-autorefs"", ""mkdocs-git-revision-date-localized-plugin"", ""mkdocs-markdownextradata-plugin"", ""mkdocs-material"", ""mkdocstrings[python]"", ""mup"", ""mypy"", ""ninja"", ""packaging"", ""pre-commit"", ""pydoclint"", ""pytest"", ""pytest-cov"", ""pytest-randomly"", ""pytest_notebook"", ""ruff"", ""s3fs"", ""s3path"", ""tensorboard"", ""wheel""]"
,,
A python package that takes XCT images of porous materials and generates representative digital twin micromodels,Python,"[""cairosvg"", ""drawsvg"", ""ezdxf"", ""feret"", ""gstools"", ""jax"", ""jaxlib"", ""matplotlib"", ""numpy"", ""opencv-python"", ""openpnm"", ""optax"", ""porespy"", ""pypardiso"", ""reportlab"", ""scikit-image"", ""scipy"", ""svglib"", ""yapf""]"
Open-Source Real-time Multi-protocol Gateway,C++,"[""CURL"", ""Criterion"", ""Etherlab"", ""FileSystem"", ""IBVerbs"", ""LibDataChannel"", ""Lua"", ""OpenDSSC"", ""OpenMP"", ""OpenSSL"", ""PkgConfig"", ""RDMACM"", ""Threads"", ""api"", ""clients"", ""common"", ""etc"", ""fmt"", ""formats"", ""fpga"", ""ghc_filesystem"", ""hooks"", ""integration"", ""lib"", ""libxil"", ""nodes"", ""packaging"", ""plugins"", ""python"", ""re"", ""rtlab-asyncip"", ""shmem"", ""spdlog"", ""src"", ""tests"", ""tools"", ""unit""]"
A package to help you share your data by making GUIs the easiest thing in the world!,Python,"[""flask"", ""furo"", ""ipykernel"", ""ipympl"", ""ipywidgets"", ""matplotlib"", ""pytest"", ""pytest-cov"", ""sphinx"", ""sphinx-autodoc-typehints"", ""sphinx-copybutton"", ""sphinx-design"", ""sphinx-rtd-theme"", ""sphinx-tabs""]"
"Domain Specific Programming language for Network Analysis and Data Integration (NADI) System. The repo contains command line tool, IDE, python library, etc.",Rust,[]
,,
Equivariant convolutions for machine learning on tensor fields,Python,"[""absl-py"", ""annotated-types"", ""appnope"", ""asttokens"", ""attrs"", ""babel"", ""beautifulsoup4"", ""bleach"", ""certifi"", ""cffi"", ""charset-normalizer"", ""chex"", ""click"", ""colorama"", ""comm"", ""contourpy"", ""cycler"", ""debugpy"", ""decorator"", ""defusedxml"", ""docker-pycreds"", ""equinox"", ""etils"", ""exceptiongroup"", ""executing"", ""fastjsonschema"", ""fonttools"", ""ghp-import"", ""ginjax"", ""gitdb"", ""gitpython"", ""griffe"", ""idna"", ""imageio"", ""ipykernel"", ""ipython"", ""jax"", ""jaxlib"", ""jaxtyping"", ""jedi"", ""jinja2"", ""jsonschema"", ""jsonschema-specifications"", ""jupyter-client"", ""jupyter-core"", ""jupyterlab-pygments"", ""jupytext"", ""kiwisolver"", ""markdown"", ""markdown-it-py"", ""markupsafe"", ""matplotlib"", ""matplotlib-inline"", ""mdit-py-plugins"", ""mdurl"", ""mergedeep"", ""mistune"", ""mkdocs"", ""mkdocs-autorefs"", ""mkdocs-gen-files"", ""mkdocs-get-deps"", ""mkdocs-jupyter"", ""mkdocs-literate-nav"", ""mkdocs-material"", ""mkdocs-material-extensions"", ""mkdocstrings"", ""mkdocstrings-python"", ""ml-dtypes"", ""nbclient"", ""nbconvert"", ""nbformat"", ""nest-asyncio"", ""numpy"", ""opt-einsum"", ""optax"", ""packaging"", ""paginate"", ""pandocfilters"", ""parso"", ""pathspec"", ""pexpect"", ""pillow"", ""platformdirs"", ""prompt-toolkit"", ""protobuf"", ""psutil"", ""ptyprocess"", ""pure-eval"", ""pycparser"", ""pydantic"", ""pydantic-core"", ""pygments"", ""pymdown-extensions"", ""pyparsing"", ""python-dateutil"", ""pywin32"", ""pyyaml"", ""pyyaml-env-tag"", ""pyzmq"", ""referencing"", ""regex"", ""requests"", ""rpds-py"", ""scipy"", ""sentry-sdk"", ""setproctitle"", ""setuptools"", ""six"", ""smmap"", ""soupsieve"", ""stack-data"", ""tinycss2"", ""tomli"", ""toolz"", ""tornado"", ""traitlets"", ""typing-extensions"", ""urllib3"", ""wadler-lindig"", ""wandb"", ""watchdog"", ""wcwidth"", ""webencodings""]"
A repository for computation of graph invariants,Python,"[""PuLP"", ""Pygments"", ""contourpy"", ""cycler"", ""fonttools"", ""iniconfig"", ""kiwisolver"", ""matplotlib"", ""networkx"", ""numpy"", ""packaging"", ""pandas"", ""pillow"", ""pluggy"", ""pyparsing"", ""pytest"", ""python-dateutil"", ""pytz"", ""six"", ""sphinx"", ""sphinx-rtd-theme"", ""tzdata""]"
A Unified Python Interface for Water Resource Data Acquisition,Python,"[""basemap"", ""fiona"", ""imageio"", ""ipykernel"", ""nbsphinx"", ""netcdf4"", ""numpy"", ""openpyxl"", ""pandas"", ""requests"", ""scipy"", ""seaborn"", ""shapely"", ""sphinx"", ""sphinx-gallery"", ""sphinx-prompt"", ""sphinx_copybutton"", ""sphinx_issues"", ""sphinx_rtd_theme"", ""sphinx_toggleprompt"", ""statsmodels"", ""xarray""]"
"SounderPy is an open-source Python package for retrieving, processing, and visualizing atmospheric sounding data.",Jupyter Notebook,[]
Single-cell morphological analysis,Python,"[""anndata"", ""certifi"", ""formulaic"", ""matplotlib"", ""numba"", ""numpy"", ""pandas"", ""patsy"", ""pyarrow"", ""pyod"", ""rpy2"", ""scanpy"", ""scikit-learn"", ""seaborn"", ""session-info"", ""tqdm""]"
,,
A Python signal analysis toolbox for computing spectral-domain interactions using the bispectrum.,Python,"[""codespell"", ""coverage"", ""ipykernel"", ""ipython"", ""ipywidgets"", ""isort"", ""joblib"", ""matplotlib"", ""mne"", ""notebook"", ""numba"", ""numpy"", ""numpydoc"", ""pooch"", ""pre-commit"", ""pydata-sphinx-theme"", ""pydocstyle"", ""pytest"", ""scikit-learn"", ""scipy"", ""sphinx"", ""sphinx-copybutton"", ""sphinx-gallery"", ""sphinxcontrib-bibtex""]"
SLAP2 Helper Functions,Jupyter Notebook,[]
"A code for fast, massively-parallel simulations of two-phase flows with heat transfer",Fortran,[]
Matrix functions in Julia,Julia,[]
Underworld v3,Python,[]
A Julia implementation of the Targeted Minimum Loss-based Estimation,Julia,[]
MCSim Models in R,C,[]
Python Framework for DSGE Modeling,HTML,[]
Fast high-dimensional interpolation of vector valued functions in JAX,Python,"[""black"", ""flake8"", ""flake8-pyproject"", ""ipykernel"", ""jax"", ""matplotlib"", ""mypy"", ""numba"", ""pdoc"", ""pytest"", ""pytest-benchmark"", ""pytype""]"
ASSUME - Agent-based Simulation for Studying and Understanding Market Evolution,Python,"[""argcomplete"", ""demandlib"", ""highspy"", ""holidays"", ""mango-agents"", ""matplotlib"", ""mypy"", ""nest-asyncio"", ""numpy"", ""pandas"", ""psycopg2-binary"", ""pvlib"", ""pyomo"", ""pypsa"", ""pytest"", ""pytest-asyncio"", ""pytest-cov"", ""python-dateutil"", ""pyyaml"", ""pyyaml-include"", ""ruff"", ""sqlalchemy"", ""tensorboard"", ""torch"", ""tqdm"", ""windpowerlib"", ""xarray""]"
asyncmd is a library to write concurrent code to run and analyze molecular dynamics simulations using pythons async/await syntax. Computationally costly operations can be performed locally or submitted to a queuing system.,Python,"[""aiofiles"", ""mdanalysis"", ""myst-nb"", ""numpy"", ""pytest"", ""pytest-asyncio"", ""scipy"", ""sphinx"", ""sphinx-book-theme""]"
A Python package for performing Co-Activation Patterns (CAPs) analyses on resting-state and task-based fMRI data.,Python,"[""__vtkname__"", ""asv"", ""brainspace"", ""ipykernel"", ""ipywidgets"", ""joblib"", ""kaleido"", ""kneed"", ""matplotlib"", ""myst_parser"", ""nbformat"", ""nbsphinx"", ""neurocaps"", ""neuromaps"", ""nibabel"", ""nilearn"", ""numpy"", ""openneuro-py"", ""pandas"", ""pandoc"", ""plotly"", ""pre-commit"", ""pybids"", ""pydata_sphinx_theme"", ""pytest"", ""pytest-cov"", ""pytest-rerunfailures"", ""scikit-learn"", ""scipy"", ""seaborn"", ""setuptools"", ""sphinx"", ""sphinx-copybutton"", ""sphinx-gallery"", ""sphinx_rtd_theme"", ""sphinxcontrib.redirects"", ""surfplot"", ""tqdm"", ""typing_extensions"", ""virtualenv"", ""vtk""]"
A webapp for annotating actigraphy data,Python,"[""actisleep-tracker"", ""annotated-types"", ""blinker"", ""certifi"", ""cfgv"", ""charset-normalizer"", ""click"", ""colorama"", ""coverage"", ""dash"", ""dash-bootstrap-components"", ""dash-core-components"", ""dash-daq"", ""dash-html-components"", ""dash-table"", ""distlib"", ""filelock"", ""flask"", ""greenlet"", ""identify"", ""idna"", ""importlib-metadata"", ""iniconfig"", ""itsdangerous"", ""jinja2"", ""markupsafe"", ""mypy"", ""mypy-extensions"", ""narwhals"", ""nest-asyncio"", ""nodeenv"", ""numpy"", ""packaging"", ""pandas"", ""pathspec"", ""platformdirs"", ""plotly"", ""pluggy"", ""polars"", ""pre-commit"", ""pyarrow"", ""pydantic"", ""pydantic-core"", ""pydantic-settings"", ""pygments"", ""pytest"", ""pytest-cov"", ""pytest-mock"", ""python-dateutil"", ""python-dotenv"", ""pytz"", ""pyyaml"", ""rdata"", ""requests"", ""retrying"", ""ruff"", ""setuptools"", ""six"", ""sqlalchemy"", ""typing-extensions"", ""typing-inspection"", ""tzdata"", ""urllib3"", ""virtualenv"", ""vulture"", ""werkzeug"", ""xarray"", ""zipp""]"
A Python tool for high-throughput retrieval of protein and/or gene sequences from NCBI GenBank for single or multiple taxa.,Python,"[""biopython"", ""black"", ""classifiers"", ""click"", ""colorama"", ""coverage"", ""exceptiongroup"", ""flake8"", ""gene-fetch"", ""include"", ""iniconfig"", ""keywords"", ""license"", ""mccabe"", ""mypy-extensions"", ""numpy"", ""packages"", ""packaging"", ""pathspec"", ""platformdirs"", ""pluggy"", ""pycodestyle"", ""pyflakes"", ""pytest"", ""pytest-cov"", ""python"", ""ratelimit"", ""readme"", ""repository"", ""tomli"", ""typing-extensions""]"
Real-time analysis of intracranial neurophysiology recordings.,Python,"[""PyQt6"", ""cbor2"", ""fastapi"", ""fooof"", ""imbalanced-learn"", ""joblib"", ""matplotlib"", ""mne"", ""mne-bids"", ""mne-connectivity"", ""mne-lsl"", ""mrmr_selection"", ""msgpack"", ""nolds"", ""notebook"", ""numba"", ""numpy"", ""pandas"", ""pyarrow"", ""pybispectra"", ""pydantic"", ""pyparrm"", ""pyqt5"", ""pytest"", ""pytest-cov"", ""pytest-sugar"", ""pytest-xdist"", ""pywebview"", ""ruff"", ""scikit-learn"", ""scikit-optimize"", ""scipy"", ""seaborn"", ""skops""]"
,MATLAB,[]
⚗️ An all-in-one solution for chemical property retrieval from PubChem.,Python,"[""Pillow"", ""matplotlib"", ""pandas"", ""pydantic"", ""pygments"", ""pystow"", ""requests"", ""requests-cache"", ""scikit-learn"", ""seaborn"", ""sphinx"", ""sphinx-copybutton"", ""sphinx-rtd-theme"", ""sqlalchemy""]"
An R library to ease the process of using Simulacrum.,R,[]
R package for modeling anadromous fish population responses to dams,R,"[""knitr"", ""rmarkdown"", ""testthat"", ""vctrs""]"
A SAM-based model for instance segmentation of images of grains,Jupyter Notebook,[]
A Python package of cooperative co-evolutionary algorithms for feature selection in high-dimensional data.,Python,"[""Homepage"", ""fsspec"", ""homepage"", ""imbalanced-learn"", ""kneed"", ""license"", ""numpy"", ""pandas"", ""pyarrow"", ""pytest"", ""pytest-asyncio"", ""pytest-cov"", ""pytest-deadfixtures"", ""pytest-mock"", ""python"", ""readme"", ""scikit-learn"", ""scipy"", ""toml"", ""tqdm"", ""tqdm-joblib""]"
,C++,"[""SymEngine"", ""flint""]"
Combination of logreg2ph and TwoPhaseReg,R,"[""MASS"", ""R.rsp"", ""Rcpp"", ""RcppArmadillo"", ""RcppEigen"", ""knitr"", ""lme4"", ""quarto"", ""rmarkdown"", ""splines"", ""testthat"", ""tibble""]"
